id,station_name,short_name,total_docks,docks_in_service,status,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4,reference_matched,station_key,station_first_trip_at,source_ids,name_variants,first_trip_archive,opening_date_status,earlier_same_name_trip_at,service_date_review_reasons
a3a762a1-a135-11e9-9cda-0a87ae2ba916,Stave St & Armitage Ave,CHI00412,11,11,In Service,41.917741,-87.691392,"{""type"":""Point"",""coordinates"":[-87.691392,41.917741]}",24,22535,23,294,41,1,1,True,divvy_36935375dcb41982,2013-07-27 06:38:00,13266 | 185 | CHI00412,Stave St & Armitage Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a767b1-a135-11e9-9cda-0a87ae2ba916,Ogden Ave & Race Ave,CHI00229,15,15,In Service,41.891795,-87.658751,"{""type"":""Point"",""coordinates"":[-87.658751,41.891795]}",41,22620,25,521,41,49,1,True,divvy_9e9f207da3c61e3f,2013-07-28 09:47:00,13194 | 186 | CHI00229,Ogden Ave & Race Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a76cb6-a135-11e9-9cda-0a87ae2ba916,Greenview Ave & Fullerton Ave,CHI00232,18,16,In Service,41.92533,-87.6658,"{""type"":""Point"",""coordinates"":[-87.6658,41.92533]}",16,21190,68,770,40,16,32,True,divvy_2c5db0e7d4439fda,2013-07-11 17:24:00,188 | CHI00232 | TA1307000001,Greenview Ave & Fullerton Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a771c2-a135-11e9-9cda-0a87ae2ba916,Southport Ave & Wrightwood Ave,CHI00339,16,16,In Service,41.928773,-87.663913,"{""type"":""Point"",""coordinates"":[-87.663913,41.928773]}",16,21190,68,770,11,16,32,True,divvy_e85c7bd199f42030,2013-06-27 19:38:00,190 | CHI00339 | TA1307000113,Southport Ave & Wrightwood Ave | Southport Ave & Wrightwood Ave*,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,first_archive_day
a3a7775b-a135-11e9-9cda-0a87ae2ba916,Canal St & Monroe St,CHI00398,27,27,In Service,41.8829056,-87.6397409,"{""type"":""Point"",""coordinates"":[-87.6397409,41.8829056]}",22,4452,29,784,36,45,42,False,,,,,,,,
a3a77c8d-a135-11e9-9cda-0a87ae2ba916,Canal St & Adams St,CHI01743,47,47,In Service,41.879255,-87.639904,"{""type"":""Point"",""coordinates"":[-87.639904,41.879255]}",48,14914,29,786,36,45,34,True,divvy_4080b15bc261cc12,2013-07-04 09:20:00,13011 | 192 | CHI01743,Canal St & Adams St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a781a6-a135-11e9-9cda-0a87ae2ba916,State St & 29th St,CHI00231,11,11,In Service,41.8417,-87.62693,"{""type"":""Point"",""coordinates"":[-87.62693,41.8417]}",12,21194,1,377,9,40,8,True,divvy_94daec4afa51ced3,2013-08-23 16:52:00,13213 | 193 | CHI00231,State St & 29th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a78bc0-a135-11e9-9cda-0a87ae2ba916,Columbus Dr & Randolph St,CHI00345,55,53,In Service,41.884728,-87.619521,"{""type"":""Point"",""coordinates"":[-87.619521,41.884728]}",22,14309,38,580,36,42,42,True,divvy_741d4f98caac5b7f,2013-06-29 12:37:00,13263 | 195 | CHI00345,Columbus Dr & Randolph St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a790cc-a135-11e9-9cda-0a87ae2ba916,Cityfront Plaza Dr & Pioneer Ct,CHI00483,31,31,In Service,41.890573,-87.622072,"{""type"":""Point"",""coordinates"":[-87.622072,41.890573]}",22,21182,37,159,36,6,42,True,divvy_ca6b6e3d737e131c,2014-07-01 04:47:00,13427 | 196 | CHI00483,Cityfront Plaza Dr & Pioneer Ct,Divvy_Stations_Trips_2014_Q3Q4.zip,unverified_first_trip_proxy,,possible_rename
a3a795d7-a135-11e9-9cda-0a87ae2ba916,Michigan Ave & Madison St,CHI01915,15,15,In Service,41.882134,-87.625125,"{""type"":""Point"",""coordinates"":[-87.625125,41.882134]}",22,14310,38,580,36,41,34,True,divvy_bf9e601f5cb95449,2013-08-10 16:19:00,13036 | 197 | CHI01915,Michigan Ave & Madison St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a79adb-a135-11e9-9cda-0a87ae2ba916,Green St & Madison St,CHI00347,27,27,In Service,41.881859328,-87.6492637396,"{""type"":""Point"",""coordinates"":[-87.649263739586,41.881859328038]}",41,14917,29,63,46,44,27,True,divvy_3e0abecca9beca66,2016-01-01 02:52:00,198 | CHI00347 | TA1307000120,Green St & Madison St,Divvy_Trips_2016_Q1Q2.zip,unverified_first_trip_proxy,,possible_rename
a3a79fdc-a135-11e9-9cda-0a87ae2ba916,Wabash Ave & Grand Ave,CHI00313,42,42,In Service,41.891466,-87.626761,"{""type"":""Point"",""coordinates"":[-87.626761,41.891466]}",22,21182,37,626,36,6,42,True,divvy_5eee8f355b4dff30,2013-08-10 13:14:00,199 | CHI00313 | TA1307000117,Wabash Ave & Grand Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & 47th St,CHI00399,11,11,In Service,41.809851,-87.616279,"{""type"":""Point"",""coordinates"":[-87.616279,41.809851]}",12,4301,4,447,9,36,8,True,divvy_1f9dc06fba624902,2013-08-14 23:00:00,200 | CHI00399 | TA1308000007,King Dr & 47th St | MLK Jr Dr & 47th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7aa0e-a135-11e9-9cda-0a87ae2ba916,Indiana Ave & 40th St,CHI00256,11,11,In Service,41.82168,-87.6216,"{""type"":""Point"",""coordinates"":[-87.6216,41.82168]}",12,4301,4,163,9,36,8,True,divvy_78e4486e9dc5ef91,2013-08-14 17:09:00,13083 | 201 | CHI00256,Indiana Ave & 40th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7af11-a135-11e9-9cda-0a87ae2ba916,Halsted St & 18th St,CHI00424,16,16,In Service,41.8575056803,-87.6459914446,"{""type"":""Point"",""coordinates"":[-87.645991444588,41.857505680317]}",8,21194,33,249,48,40,25,True,divvy_2f8d6201d79282b2,2013-08-13 12:02:00,13099 | 202 | CHI00424,Halsted St & 18th St | Halsted St & 18th St (Temp),Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7b41d-a135-11e9-9cda-0a87ae2ba916,Western Ave & 21st St,CHI00308,15,15,In Service,41.854109,-87.685838,"{""type"":""Point"",""coordinates"":[-87.685838,41.854109]}",8,14920,33,4,23,43,28,True,divvy_3b9078fec1c355f0,2013-08-16 08:04:00,13091 | 203 | CHI00308,Western Ave & 21st St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7b936-a135-11e9-9cda-0a87ae2ba916,Prairie Ave & Garfield Blvd,CHI00346,11,11,In Service,41.794853,-87.618691,"{""type"":""Point"",""coordinates"":[-87.618691,41.794853]}",12,21192,7,401,9,10,8,True,divvy_69b07549db73b3e5,2013-08-15 13:16:00,204 | 906 | CHI00346 | TA1307000160,Prairie Ave & Garfield Blvd,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,possible_rename
a3a7be40-a135-11e9-9cda-0a87ae2ba916,Paulina St & 18th St,CHI00312,15,15,In Service,41.857901,-87.668745,"{""type"":""Point"",""coordinates"":[-87.668745,41.857901]}",8,14920,33,343,26,43,25,True,divvy_f352fb5f1baa6be9,2013-08-13 14:48:00,205 | CHI00312 | TA1307000159,Paulina St & 18th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7c341-a135-11e9-9cda-0a87ae2ba916,Halsted St & Archer Ave,CHI00426,15,15,In Service,41.847203,-87.646795,"{""type"":""Point"",""coordinates"":[-87.646795,41.847203]}",26,14920,58,59,48,43,7,True,divvy_79c224396ad840ab,2013-08-15 07:25:00,206 | CHI00426 | TA1308000013,Halsted St & Archer Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7c852-a135-11e9-9cda-0a87ae2ba916,Emerald Ave & 28th St,CHI00373,15,15,In Service,41.84358,-87.645368,"{""type"":""Point"",""coordinates"":[-87.645368,41.84358]}",26,21194,58,688,48,40,7,True,divvy_cbdc5ed2e13fe243,2013-08-15 20:17:00,207 | CHI00373 | TA1307000153,Emerald Ave & 28th St,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7cd56-a135-11e9-9cda-0a87ae2ba916,Laflin St & Cullerton St,CHI00352,15,14,In Service,41.8549145758,-87.6635599136,"{""type"":""Point"",""coordinates"":[-87.663559913635,41.854914575766]}",8,14920,33,365,26,43,25,True,divvy_ba599a760245ba96,2020-01-01 16:04:08,13307 | 208 | CHI00352,Laflin St & Cullerton St,Divvy_Trips_2020_Q1.zip,unverified_first_trip_proxy,,
a3a7d279-a135-11e9-9cda-0a87ae2ba916,Normal Ave & Archer Ave,CHI00392,11,11,In Service,41.849527,-87.640591,"{""type"":""Point"",""coordinates"":[-87.640591,41.849527]}",8,21194,35,3,48,40,7,True,divvy_0a49ade1fd00a21b,2013-08-16 14:56:00,209 | CHI00392 | TA1308000014,Normal Ave & Archer Ave,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
a3a7d782-a135-11e9-9cda-0a87ae2ba916,Paulina St & Division St,CHI00244,23,23,In Service,41.9035529,-87.6704292,"{""type"":""Point"",""coordinates"":[-87.6704292,41.9035529]}",24,21560,25,481,41,4,1,True,divvy_86ee26db0884059a,2025-08-31 19:46:59.939000,CHI00244,Ashland Ave & Division St | Paulina St & Division St,202509-divvy-tripdata.zip,unverified_first_trip_proxy,2013-08-16 11:01:00,earlier_same_name_history | possible_rename
a3a7dc8c-a135-11e9-9cda-0a87ae2ba916,St. Clair St & Erie St 1,CHI01744,19,19,In Service,41.8944,-87.62286,"{""type"":""Point"",""coordinates"":[-87.62286,41.8944]}",22,21182,37,158,36,6,42,True,divvy_75442b80566237e8,2013-08-15 17:13:00,13016 | 211 | CHI01744,St Clair St & Erie St | St. Clair St & Erie St | St. Clair St & Erie St 1,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
